!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Thu Sep 08 15:17:37 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.73764525000e+005, +1.47385491878e+003, -3.11637011593e+004
+2.75014500000e+005, +1.46436437013e+003, -3.10211958318e+004
+2.76264475000e+005, +1.45995725061e+003, -3.08901200626e+004
+2.77514450000e+005, +1.44769837851e+003, -3.07475189871e+004
+2.78764425000e+005, +1.44156759448e+003, -3.06239217249e+004
+2.80014400000e+005, +1.43077787333e+003, -3.04872708053e+004
+2.81264375000e+005, +1.42167818620e+003, -3.03609193509e+004
+2.82514350000e+005, +1.41348405086e+003, -3.02287480764e+004
+2.83764325000e+005, +1.41357373619e+003, -3.00942467138e+004
+2.85014300000e+005, +1.40136355567e+003, -2.99755346671e+004
+2.86264275000e+005, +1.39545048507e+003, -2.98349606457e+004
+2.87514250000e+005, +1.38840160449e+003, -2.97138806791e+004
+2.88764225000e+005, +1.38200709087e+003, -2.95867405849e+004
+2.90014200000e+005, +1.37734577851e+003, -2.94616596932e+004
+2.91264175000e+005, +1.36370012321e+003, -2.93223120936e+004
+2.92514150000e+005, +1.35381087528e+003, -2.92171399164e+004
+2.93764125000e+005, +1.35052671538e+003, -2.90957411853e+004
+2.95014100000e+005, +1.34276704080e+003, -2.89767911882e+004
+2.96264075000e+005, +1.33876396283e+003, -2.88520845056e+004
+2.97514050000e+005, +1.33236847496e+003, -2.87385579692e+004
+2.98764025000e+005, +1.33210373195e+003, -2.86194838922e+004
+3.00014000000e+005, +1.31599633724e+003, -2.85056222662e+004
+3.01263975000e+005, +1.31876386874e+003, -2.83986026537e+004
+3.02513950000e+005, +1.30278028829e+003, -2.82781739928e+004
+3.03763925000e+005, +1.29959085806e+003, -2.81634733144e+004
+3.05013900000e+005, +1.29426791600e+003, -2.80439697595e+004
+3.06263875000e+005, +1.28316128940e+003, -2.79364114871e+004
+3.07513850000e+005, +1.27510786233e+003, -2.78132375202e+004
+3.08763825000e+005, +1.26682389055e+003, -2.77209333752e+004
+3.10013800000e+005, +1.26699672183e+003, -2.76099906960e+004
+3.11263775000e+005, +1.26139114477e+003, -2.74981307790e+004
+3.12513750000e+005, +1.24840686442e+003, -2.73919444028e+004
+3.13763725000e+005, +1.25357847256e+003, -2.72813604524e+004
+3.15013700000e+005, +1.24319087885e+003, -2.71788047326e+004
+3.16263675000e+005, +1.23282291573e+003, -2.70734324441e+004
+3.17513650000e+005, +1.22551085927e+003, -2.69730000067e+004
+3.18763625000e+005, +1.22405240316e+003, -2.68688712893e+004
+3.20013600000e+005, +1.21994666947e+003, -2.67693777957e+004
+3.21263575000e+005, +1.20956654506e+003, -2.66655068758e+004
