!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Fri Sep 09 10:22:19 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+1.91266175000e+005, +1.54463911970e+003, -4.68550046087e+004
+1.92516150000e+005, +1.52814580492e+003, -4.65601953998e+004
+1.93766125000e+005, +1.51115329367e+003, -4.62390727397e+004
+1.95016100000e+005, +1.50203453672e+003, -4.59626421817e+004
+1.96266075000e+005, +1.47931621370e+003, -4.56940877647e+004
+1.97516050000e+005, +1.48641371650e+003, -4.53973931265e+004
+1.98766025000e+005, +1.47980938556e+003, -4.51167983137e+004
+2.00016000000e+005, +1.45735459531e+003, -4.47883557167e+004
+2.01265975000e+005, +1.46363911662e+003, -4.45623980691e+004
+2.02515950000e+005, +1.43176767390e+003, -4.42836168550e+004
+2.03765925000e+005, +1.42201912615e+003, -4.39966426371e+004
+2.05015900000e+005, +1.45123722442e+003, -4.37746260134e+004
+2.06265875000e+005, +1.41511145994e+003, -4.35005352980e+004
+2.07515850000e+005, +1.40730340480e+003, -4.32322354546e+004
+2.08765825000e+005, +1.39822446669e+003, -4.30143482258e+004
+2.10015800000e+005, +1.38115693882e+003, -4.27275024644e+004
+2.11265775000e+005, +1.36839620167e+003, -4.24839463491e+004
+2.12515750000e+005, +1.35642064959e+003, -4.22439020734e+004
+2.13765725000e+005, +1.34920966488e+003, -4.19985089926e+004
+2.15015700000e+005, +1.35283189370e+003, -4.17620384900e+004
+2.16265675000e+005, +1.34770749725e+003, -4.15225663720e+004
+2.17515650000e+005, +1.33235851831e+003, -4.12904861642e+004
+2.18765625000e+005, +1.31186139904e+003, -4.10592460910e+004
+2.20015600000e+005, +1.32207174592e+003, -4.08291938600e+004
+2.21265575000e+005, +1.30559180542e+003, -4.05887729848e+004
+2.22515550000e+005, +1.30118870076e+003, -4.03787940936e+004
+2.23765525000e+005, +1.29006924509e+003, -4.01658366473e+004
+2.25015500000e+005, +1.27623257645e+003, -3.99345820041e+004
+2.26265475000e+005, +1.27965074866e+003, -3.97510860834e+004
+2.27515450000e+005, +1.27350001151e+003, -3.95055363094e+004
+2.28765425000e+005, +1.25309125024e+003, -3.92968641254e+004
+2.30015400000e+005, +1.24267038043e+003, -3.91058965656e+004
+2.31265375000e+005, +1.23998340305e+003, -3.88764384759e+004
+2.32515350000e+005, +1.23771050760e+003, -3.86820488420e+004
+2.33765325000e+005, +1.23569222277e+003, -3.84637028891e+004
+2.35015300000e+005, +1.20003601221e+003, -3.82643487615e+004
+2.36265275000e+005, +1.21771560869e+003, -3.80725262207e+004
+2.37515250000e+005, +1.19937910367e+003, -3.78798120040e+004
+2.38765225000e+005, +1.19679819232e+003, -3.76772226802e+004
+2.40015200000e+005, +1.18222108612e+003, -3.74776561812e+004
+2.41265175000e+005, +1.17277061302e+003, -3.72679813627e+004
+2.42515150000e+005, +1.17620458931e+003, -3.71022445075e+004
+2.43765125000e+005, +1.16709498986e+003, -3.69182678164e+004
+2.45015100000e+005, +1.15167091332e+003, -3.67295628229e+004
+2.46265075000e+005, +1.15024119825e+003, -3.65354824401e+004
+2.47515050000e+005, +1.14910083061e+003, -3.63680842545e+004
+2.48765025000e+005, +1.14759384747e+003, -3.61934787967e+004
+2.50015000000e+005, +1.14715046329e+003, -3.60093629516e+004
+2.51264975000e+005, +1.12998806017e+003, -3.58326192206e+004
+2.52514950000e+005, +1.12310528783e+003, -3.56575682428e+004
+2.53764925000e+005, +1.12381582544e+003, -3.54858263714e+004
+2.55014900000e+005, +1.10756213765e+003, -3.53278336427e+004
+2.56264875000e+005, +1.10268509644e+003, -3.51505093283e+004
+2.57514850000e+005, +1.09498097842e+003, -3.49901278197e+004
+2.58764825000e+005, +1.10760597570e+003, -3.48184828512e+004
+2.60014800000e+005, +1.07841521700e+003, -3.46572906008e+004
+2.61264775000e+005, +1.09814673049e+003, -3.44970956376e+004
+2.62514750000e+005, +1.07437318974e+003, -3.43237681583e+004
+2.63764725000e+005, +1.07011208544e+003, -3.41702393995e+004
+2.65014700000e+005, +1.06397299619e+003, -3.40215108990e+004
+2.66264675000e+005, +1.07251618738e+003, -3.38530302911e+004
+2.67514650000e+005, +1.05535734174e+003, -3.36944658947e+004
+2.68764625000e+005, +1.04673776403e+003, -3.35397498625e+004
+2.70014600000e+005, +1.03861304944e+003, -3.33879092194e+004
+2.71264575000e+005, +1.04108820512e+003, -3.32420849284e+004
+2.72514550000e+005, +1.03141099392e+003, -3.30831245067e+004
+2.73764525000e+005, +1.02741049161e+003, -3.29370965857e+004
+2.75014500000e+005, +1.01209141608e+003, -3.27921175552e+004
+2.76264475000e+005, +1.01452250944e+003, -3.26441853703e+004
+2.77514450000e+005, +1.01200091658e+003, -3.25029644969e+004
+2.78764425000e+005, +1.00501446109e+003, -3.23566378519e+004
+2.80014400000e+005, +1.00172321402e+003, -3.22185793018e+004
+2.81264375000e+005, +9.98477599093e+002, -3.20776602457e+004
+2.82514350000e+005, +9.99670188810e+002, -3.19298262187e+004
+2.83764325000e+005, +9.82566435418e+002, -3.18055096572e+004
+2.85014300000e+005, +9.90816635365e+002, -3.16642315825e+004
+2.86264275000e+005, +9.82203344651e+002, -3.15223045708e+004
+2.87514250000e+005, +9.79589597370e+002, -3.13888541778e+004
+2.88764225000e+005, +9.66782210336e+002, -3.12585067660e+004
+2.90014200000e+005, +9.59379461065e+002, -3.11217393193e+004
+2.91264175000e+005, +9.61268946960e+002, -3.09934784837e+004
+2.92514150000e+005, +9.47941808511e+002, -3.08614968836e+004
+2.93764125000e+005, +9.48560078109e+002, -3.07303438816e+004
+2.95014100000e+005, +9.47968675520e+002, -3.06106071976e+004
+2.96264075000e+005, +9.43168335895e+002, -3.04815635176e+004
+2.97514050000e+005, +9.33728518465e+002, -3.03570575665e+004
+2.98764025000e+005, +9.27113047546e+002, -3.02326068358e+004
+3.00014000000e+005, +9.27499116428e+002, -3.01030245924e+004
+3.01263975000e+005, +9.23518279341e+002, -2.99830176678e+004
+3.02513950000e+005, +9.15557884968e+002, -2.98519660936e+004
+3.03763925000e+005, +9.15869385979e+002, -2.97355189306e+004
+3.05013900000e+005, +9.15805656275e+002, -2.96216680455e+004
+3.06263875000e+005, +9.11092629514e+002, -2.95059109172e+004
+3.07513850000e+005, +8.98425207886e+002, -2.93830291177e+004
+3.08763825000e+005, +8.97669091444e+002, -2.92706473749e+004
+3.10013800000e+005, +9.01025149342e+002, -2.91565794542e+004
+3.11263775000e+005, +9.00176394455e+002, -2.90400814339e+004
+3.12513750000e+005, +8.89562515627e+002, -2.89243869268e+004
+3.13763725000e+005, +8.85138262674e+002, -2.88037537999e+004
+3.15013700000e+005, +8.75830738125e+002, -2.86967386417e+004
+3.16263675000e+005, +8.72405102857e+002, -2.85858531855e+004
+3.17513650000e+005, +8.72442931404e+002, -2.84701600766e+004
+3.18763625000e+005, +8.67871540937e+002, -2.83645325747e+004
+3.20013600000e+005, +8.68388430688e+002, -2.82559819148e+004
+3.21263575000e+005, +8.66925874742e+002, -2.81462777644e+004
+3.22513550000e+005, +8.54769401472e+002, -2.80400432357e+004
+3.23763525000e+005, +8.50719740791e+002, -2.79360311627e+004
+3.25013500000e+005, +8.47213441663e+002, -2.78308643845e+004
+3.26263475000e+005, +8.48101747810e+002, -2.77250642083e+004
+3.27513450000e+005, +8.41907924126e+002, -2.76219887213e+004
+3.28763425000e+005, +8.39681673679e+002, -2.75099781582e+004
+3.30013400000e+005, +8.34620519283e+002, -2.74133204411e+004
+3.31263375000e+005, +8.28677461995e+002, -2.73126683891e+004
+3.32513350000e+005, +8.31937898955e+002, -2.72194481847e+004
+3.33763325000e+005, +8.28986553445e+002, -2.71143423042e+004
+3.35013300000e+005, +8.14866564300e+002, -2.70244256477e+004
+3.36263275000e+005, +8.35479980292e+002, -2.68998531796e+004
+3.37513250000e+005, +8.15910957211e+002, -2.68153830871e+004
+3.38763225000e+005, +8.09270406561e+002, -2.67232725744e+004
+3.40013200000e+005, +8.13890760693e+002, -2.66231691594e+004
+3.41263175000e+005, +8.06055132977e+002, -2.65270878174e+004
+3.42513150000e+005, +7.94543877883e+002, -2.64227514513e+004
+3.43763125000e+005, +8.02372519053e+002, -2.63257649303e+004
+3.45013100000e+005, +7.96439998026e+002, -2.62449173994e+004
+3.46263075000e+005, +7.88780257221e+002, -2.61511493353e+004
+3.47513050000e+005, +7.91152743950e+002, -2.60508690743e+004
+3.48763025000e+005, +7.83711541321e+002, -2.59655590840e+004
+3.50013000000e+005, +7.83000969975e+002, -2.58749402814e+004
+3.51262975000e+005, +7.82745920387e+002, -2.57864322909e+004
+3.52512950000e+005, +7.84534696131e+002, -2.57000374823e+004
+3.53762925000e+005, +7.72665384667e+002, -2.55977527054e+004
+3.55012900000e+005, +7.72966065079e+002, -2.55197203471e+004
+3.56262875000e+005, +7.67295762110e+002, -2.54298105661e+004
+3.57512850000e+005, +7.64699940239e+002, -2.53334446936e+004
+3.58762825000e+005, +7.61409346236e+002, -2.52552237684e+004
+3.60012800000e+005, +7.59123770866e+002, -2.51660707193e+004
+3.61262775000e+005, +7.58398502891e+002, -2.50800188299e+004
+3.62512750000e+005, +7.50629107623e+002, -2.49977163998e+004
+3.63762725000e+005, +7.41857815521e+002, -2.49085524732e+004
+3.65012700000e+005, +7.49564784079e+002, -2.48301771626e+004
+3.66262675000e+005, +7.47045239180e+002, -2.47467211881e+004
+3.67512650000e+005, +7.42386671620e+002, -2.46639663410e+004
+3.68762625000e+005, +7.39252342215e+002, -2.45840770730e+004
+3.70012600000e+005, +7.38712056448e+002, -2.44930453624e+004
+3.71262575000e+005, +7.38603685614e+002, -2.44220333002e+004
+3.72512550000e+005, +7.29871444952e+002, -2.43311669295e+004
+3.73762525000e+005, +7.26924019628e+002, -2.42596689991e+004
+3.75012500000e+005, +7.28241742946e+002, -2.41804184625e+004
+3.76262475000e+005, +7.25858968706e+002, -2.40989792367e+004
+3.77512450000e+005, +7.19422507563e+002, -2.40242366373e+004
+3.78762425000e+005, +7.16955579006e+002, -2.39435587761e+004
+3.80012400000e+005, +7.19632882627e+002, -2.38701576704e+004
+3.81262375000e+005, +7.10863703238e+002, -2.37925719270e+004
+3.82512350000e+005, +7.00906647266e+002, -2.37128183139e+004
+3.83762325000e+005, +7.03359035621e+002, -2.36341535047e+004
+3.85012300000e+005, +7.04861267406e+002, -2.35627803661e+004
