!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Wed Oct 12 10:17:16 2022

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+2.85014300000e+005, +1.19928550796e+003, -4.23545320855e+004
+2.86264275000e+005, +1.19736038076e+003, -4.21653634544e+004
+2.87514250000e+005, +1.19057334924e+003, -4.19928646780e+004
+2.88764225000e+005, +1.18532600847e+003, -4.18122795064e+004
+2.90014200000e+005, +1.17740203355e+003, -4.16277474791e+004
+2.91264175000e+005, +1.18023120687e+003, -4.14512295939e+004
+2.92514150000e+005, +1.17003545611e+003, -4.12811082770e+004
+2.93764125000e+005, +1.16696777365e+003, -4.11058602984e+004
+2.95014100000e+005, +1.16340451956e+003, -4.09386173903e+004
+2.96264075000e+005, +1.15518040348e+003, -4.07660358921e+004
+2.97514050000e+005, +1.15300622834e+003, -4.06035882663e+004
+2.98764025000e+005, +1.14872649648e+003, -4.04318644983e+004
+3.00014000000e+005, +1.14579238693e+003, -4.02654173559e+004
+3.01263975000e+005, +1.14044766829e+003, -4.01092464665e+004
+3.02513950000e+005, +1.13292961515e+003, -3.99378564295e+004
+3.03763925000e+005, +1.13164430687e+003, -3.97777203110e+004
+3.05013900000e+005, +1.12619843348e+003, -3.96219992603e+004
+3.06263875000e+005, +1.11944255731e+003, -3.94623679561e+004
+3.07513850000e+005, +1.11685029760e+003, -3.93008994870e+004
+3.08763825000e+005, +1.11395193310e+003, -3.91462532114e+004
+3.10013800000e+005, +1.10618749393e+003, -3.89906955746e+004
+3.11263775000e+005, +1.10103485644e+003, -3.88430394518e+004
+3.12513750000e+005, +1.09699754673e+003, -3.86868111060e+004
+3.13763725000e+005, +1.09581762033e+003, -3.85341954043e+004
+3.15013700000e+005, +1.08557408261e+003, -3.83823258924e+004
+3.16263675000e+005, +1.08500770472e+003, -3.82340009893e+004
+3.17513650000e+005, +1.08129697105e+003, -3.80860875489e+004
+3.18763625000e+005, +1.07931591874e+003, -3.79386474053e+004
