Created: Apr 1, 2019  09:16:45
AIM version 912 // ID = 190216155237
"04-01-19_2.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.540000,  17.378383,  5.933887,  -51.360780,  51.702425,  -83.409787,  0.891176,  1.000725,  79.419555
 0.545000,  17.529968,  5.773364,  -50.432923,  50.762304,  -83.469578,  0.892067,  0.992053,  79.578306
 0.550000,  17.416505,  5.701836,  -49.488999,  49.816383,  -83.427837,  0.891402,  0.998530,  79.459710
 0.555000,  17.361069,  5.617667,  -48.590698,  48.914355,  -83.405346,  0.891074,  1.001726,  79.401266
 0.560000,  17.129631,  5.589484,  -47.669308,  47.995888,  -83.312444,  0.889683,  1.015291,  79.153648
 0.565000,  16.845354,  5.585142,  -46.792827,  47.124967,  -83.193584,  0.887926,  1.032464,  78.841260
 0.570000,  16.346807,  5.666548,  -46.007836,  46.355482,  -82.978681,  0.884705,  1.064030,  78.270295
 0.575000,  15.477216,  5.891609,  -45.206275,  45.588577,  -82.574796,  0.878620,  1.123976,  77.197358
 0.580000,  14.919597,  6.027987,  -44.504174,  44.910557,  -82.286508,  0.874369,  1.166108,  76.452059
 0.585000,  14.311162,  6.194832,  -43.772476,  44.208660,  -81.944942,  0.869376,  1.215844,  75.581522
 0.590000,  13.915677,  6.272969,  -42.986272,  43.441567,  -81.697598,  0.865913,  1.250516,  74.980514
 0.595000,  13.146798,  6.538492,  -42.191552,  42.695186,  -81.190999,  0.858625,  1.323927,  73.723732
 0.600000,  12.183630,  6.958259,  -41.460594,  42.040436,  -80.473077,  0.848297,  1.429044,  71.960731
 0.605000,  11.212683,  7.472794,  -40.828714,  41.506945,  -79.628213,  0.836236,  1.553425,  69.929035
 0.610000,  10.203615,  8.160193,  -40.454561,  41.269362,  -78.595888,  0.821486,  1.707995,  67.483956
 0.615000,  9.453510,  8.794867,  -40.327222,  41.275108,  -77.697273,  0.808677,  1.844501,  65.395800
 0.620000,  8.870634,  9.392095,  -40.378456,  41.456376,  -76.905877,  0.797379,  1.966707,  63.581289
 0.625000,  8.646700,  9.679625,  -40.584703,  41.723054,  -76.585461,  0.792675,  2.018095,  62.833398
 0.630000,  8.576627,  9.796810,  -40.771498,  41.931999,  -76.488922,  0.791158,  2.034733,  62.593130
 0.635000,  8.559411,  9.852428,  -40.951583,  42.120097,  -76.472591,  0.790782,  2.038863,  62.533632
 0.640000,  8.798301,  9.637858,  -41.251931,  42.362839,  -76.849770,  0.795883,  1.983016,  63.342973
 0.645000,  9.126934,  9.329841,  -41.493467,  42.529446,  -77.327887,  0.802507,  1.911025,  64.401726
 0.650000,  9.621176,  8.858806,  -41.583241,  42.516402,  -77.973754,  0.811697,  1.812122,  65.885191
 0.655000,  10.219358,  8.317253,  -41.489352,  42.314808,  -78.664470,  0.821737,  1.705346,  67.525118
 0.660000,  10.898525,  7.744922,  -41.182025,  41.903973,  -79.349182,  0.831912,  1.598453,  69.207747
 0.665000,  11.458009,  7.297451,  -40.734557,  41.383051,  -79.843544,  0.839461,  1.519993,  70.469427
 0.670000,  11.912265,  6.960151,  -40.327765,  40.923982,  -80.207954,  0.845109,  1.461751,  71.420839
 0.675000,  12.119038,  6.779744,  -39.877374,  40.449597,  -80.351272,  0.847550,  1.436696,  71.834065
 0.680000,  12.470037,  6.532443,  -39.452632,  39.989786,  -80.598583,  0.851522,  1.396079,  72.509024
 0.685000,  12.752177,  6.327713,  -38.979179,  39.489447,  -80.779426,  0.854568,  1.365063,  73.028729
 0.690000,  13.045980,  6.126057,  -38.496372,  38.980755,  -80.958288,  0.857611,  1.334198,  73.549577
 0.695000,  13.210624,  5.995210,  -38.036453,  38.506029,  -81.043015,  0.859260,  1.317506,  73.832814
 0.700000,  13.483411,  5.821825,  -37.584551,  38.032777,  -81.195037,  0.861911,  1.290752,  74.289055
 0.705000,  13.605518,  5.719515,  -37.136973,  37.574827,  -81.244734,  0.863065,  1.279125,  74.488198
 0.710000,  13.462072,  5.732604,  -36.702387,  37.147382,  -81.122751,  0.861707,  1.292805,  74.253935
 0.715000,  13.421752,  5.707131,  -36.313553,  36.759291,  -81.068451,  0.861321,  1.296703,  74.187317
 0.720000,  13.338801,  5.700630,  -35.928404,  36.377842,  -80.984383,  0.860518,  1.304798,  74.049179
 0.725000,  13.235257,  5.707097,  -35.577154,  36.031998,  -80.886702,  0.859504,  1.315044,  73.874672
 0.730000,  13.146730,  5.709515,  -35.244700,  35.704165,  -80.798368,  0.858625,  1.323934,  73.723616
 0.735000,  13.166970,  5.660614,  -34.872767,  35.329201,  -80.780197,  0.858827,  1.321891,  73.758305
 0.740000,  13.087324,  5.663933,  -34.580996,  35.041767,  -80.698402,  0.858028,  1.329967,  73.621273
 0.745000,  13.214013,  5.582829,  -34.329808,  34.780795,  -80.763368,  0.859294,  1.317167,  73.838580
 0.750000,  13.032752,  5.619129,  -33.935505,  34.397574,  -80.598265,  0.857476,  1.335558,  73.526557
 0.755000,  12.960740,  5.623710,  -33.681472,  34.147733,  -80.521051,  0.856741,  1.343008,  73.400535
 0.760000,  12.960845,  5.597336,  -33.430123,  33.895476,  -80.495053,  0.856742,  1.342997,  73.400719
 0.765000,  12.921825,  5.578308,  -33.084188,  33.551170,  -80.429546,  0.856341,  1.347069,  73.331935
 0.770000,  12.929017,  5.546422,  -32.805122,  33.270690,  -80.403790,  0.856415,  1.346316,  73.344640
 0.775000,  13.076683,  5.459712,  -32.570129,  33.024563,  -80.484157,  0.857921,  1.331053,  73.602858
 0.780000,  13.018367,  5.460599,  -32.335097,  32.792936,  -80.414739,  0.857330,  1.337039,  73.501478
 0.785000,  13.013864,  5.433579,  -32.045992,  32.503375,  -80.376841,  0.857284,  1.337504,  73.493618
 0.790000,  12.984213,  5.422009,  -31.804200,  32.263064,  -80.325317,  0.856982,  1.340570,  73.441743
 0.795000,  13.030388,  5.385783,  -31.632286,  32.087508,  -80.337495,  0.857452,  1.335801,  73.522439
 0.800000,  13.032668,  5.362275,  -31.401525,  31.856079,  -80.309513,  0.857475,  1.335566,  73.526411
