Created: Mar 25, 2019  13:09:22
AIM version 912 // ID = 190216155237
"03-25-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.640000,  4.338105,  16.435079,  -31.371484,  35.415842,  -62.350699,  0.625335,  4.077742,  39.104412
 0.645000,  4.250538,  16.758936,  -31.273024,  35.480473,  -61.813647,  0.619087,  4.164971,  38.326832
 0.650000,  4.175072,  17.092764,  -31.316351,  35.677393,  -61.373973,  0.613532,  4.243256,  37.642147
 0.655000,  4.128343,  17.343554,  -31.452553,  35.917433,  -61.126904,  0.610011,  4.293254,  37.211282
 0.660000,  4.152708,  17.332509,  -31.735087,  36.159807,  -61.358404,  0.611855,  4.267036,  37.436603
 0.665000,  4.208235,  17.167849,  -31.961874,  36.280800,  -61.758295,  0.615993,  4.208488,  37.944707
 0.670000,  4.310289,  16.832491,  -32.242392,  36.371756,  -62.432811,  0.623373,  4.105045,  38.859350
 0.675000,  4.405407,  16.465722,  -32.290419,  36.246257,  -62.981897,  0.630000,  4.013188,  39.690014
 0.680000,  4.496541,  16.086378,  -32.198699,  35.993440,  -63.453528,  0.636135,  3.929017,  40.466746
 0.685000,  4.595810,  15.685068,  -32.076532,  35.706096,  -63.941992,  0.642590,  3.841324,  41.292158
 0.690000,  4.661839,  15.390465,  -31.868411,  35.390141,  -64.222452,  0.646758,  3.785166,  41.829574
 0.695000,  4.744303,  15.036113,  -31.609711,  35.003692,  -64.560607,  0.651829,  3.717327,  42.488097
 0.700000,  4.829562,  14.723844,  -31.482201,  34.755152,  -64.935192,  0.656921,  3.649736,  43.154529
 0.705000,  4.882245,  14.476662,  -31.186777,  34.382972,  -65.099749,  0.659994,  3.609203,  43.559177
 0.710000,  4.915937,  14.308455,  -30.947900,  34.095519,  -65.187121,  0.661930,  3.583757,  43.815149
 0.715000,  4.950045,  14.136919,  -30.689788,  33.789282,  -65.267464,  0.663868,  3.558364,  44.072088
 0.720000,  4.982055,  13.999210,  -30.524745,  33.581810,  -65.363054,  0.665667,  3.534863,  44.311220
 0.725000,  5.053340,  13.746518,  -30.337083,  33.306236,  -65.623604,  0.669604,  3.483641,  44.836934
 0.730000,  5.099258,  13.555981,  -30.090344,  33.002931,  -65.748106,  0.672091,  3.451435,  45.170667
 0.735000,  5.159783,  13.334678,  -29.859775,  32.701985,  -65.935692,  0.675313,  3.409895,  45.604797
 0.740000,  5.199464,  13.171856,  -29.622580,  32.419054,  -66.027510,  0.677391,  3.383206,  45.885921
 0.745000,  5.241752,  13.019483,  -29.443651,  32.193719,  -66.145915,  0.679577,  3.355224,  46.182513
 0.750000,  5.313269,  12.767089,  -29.135783,  31.810256,  -66.337431,  0.683207,  3.308955,  46.677168
 0.755000,  5.349216,  12.623955,  -28.897182,  31.534289,  -66.401637,  0.685000,  3.286183,  46.922565
 0.760000,  5.381257,  12.493877,  -28.664060,  31.268599,  -66.449050,  0.686582,  3.266150,  47.139502
 0.765000,  5.434205,  12.285826,  -28.289313,  30.841964,  -66.525190,  0.689161,  3.233582,  47.494331
 0.770000,  5.487094,  12.128189,  -28.122024,  30.625825,  -66.671023,  0.691696,  3.201700,  47.844272
 0.775000,  5.494672,  12.058048,  -27.876136,  30.372281,  -66.608832,  0.692055,  3.197185,  47.894047
 0.780000,  5.527861,  11.935331,  -27.646818,  30.113098,  -66.649910,  0.693621,  3.177556,  48.110998
 0.785000,  5.574236,  11.789482,  -27.434016,  29.859958,  -66.745008,  0.695782,  3.150535,  48.411276
 0.790000,  5.600527,  11.692018,  -27.235138,  29.638759,  -66.766317,  0.696994,  3.135421,  48.580046
 0.795000,  5.629312,  11.587094,  -27.018975,  29.398737,  -66.788032,  0.698310,  3.119040,  48.763624
 0.800000,  5.662379,  11.488732,  -26.872558,  29.225423,  -66.852124,  0.699807,  3.100435,  48.972971
 0.805000,  5.689527,  11.392268,  -26.667648,  28.999090,  -66.868218,  0.701025,  3.085327,  49.143635
 0.810000,  5.746346,  11.246245,  -26.506952,  28.794036,  -67.009804,  0.703543,  3.054184,  49.497308
 0.815000,  5.795243,  11.113762,  -26.319558,  28.569824,  -67.107608,  0.705676,  3.027887,  49.797929
 0.820000,  5.866318,  10.942468,  -26.136713,  28.334879,  -67.282873,  0.708723,  2.990468,  50.228842
 0.825000,  5.902581,  10.827099,  -25.882052,  28.055422,  -67.299360,  0.710253,  2.971734,  50.445979
 0.830000,  5.935316,  10.728057,  -25.671071,  27.822564,  -67.319847,  0.711621,  2.955026,  50.640434
 0.835000,  5.976630,  10.619521,  -25.485594,  27.609595,  -67.379249,  0.713329,  2.934207,  50.883777
 0.840000,  6.014649,  10.504997,  -25.222356,  27.322558,  -67.388611,  0.714882,  2.915308,  51.105685
 0.845000,  6.074926,  10.363175,  -25.013506,  27.075281,  -67.495736,  0.717312,  2.885844,  51.453585
 0.850000,  6.105280,  10.282597,  -24.847250,  26.890847,  -67.518762,  0.718519,  2.871232,  51.626984
 0.855000,  6.119827,  10.218045,  -24.611137,  26.648012,  -67.452884,  0.719094,  2.864283,  51.709659
 0.860000,  6.177682,  10.091421,  -24.431936,  26.433998,  -67.557426,  0.721359,  2.836977,  52.035812
 0.865000,  6.199792,  10.019617,  -24.215500,  26.206548,  -67.521876,  0.722214,  2.826679,  52.159336
 0.870000,  6.253301,  9.903933,  -24.035706,  25.996212,  -67.605968,  0.724263,  2.802068,  52.455756
 0.875000,  6.289687,  9.825195,  -23.904840,  25.845228,  -67.656829,  0.725640,  2.785578,  52.655314
 0.880000,  6.366439,  9.678827,  -23.734316,  25.631961,  -67.814540,  0.728498,  2.751428,  53.070991
 0.885000,  6.393318,  9.608534,  -23.544462,  25.429621,  -67.799668,  0.729485,  2.739667,  53.214904
 0.890000,  6.459764,  9.478876,  -23.347047,  25.197890,  -67.903019,  0.731895,  2.711024,  53.567030
 0.895000,  6.523019,  9.351670,  -23.114591,  24.934675,  -67.972915,  0.734149,  2.684312,  53.897517
 0.900000,  6.600965,  9.212220,  -22.921419,  24.703369,  -68.104706,  0.736876,  2.652118,  54.298552
 0.905000,  6.625506,  9.144797,  -22.689868,  24.463389,  -68.048991,  0.737722,  2.642141,  54.423424
 0.910000,  6.705287,  9.011079,  -22.518605,  24.254631,  -68.190734,  0.740438,  2.610227,  54.824836
 0.915000,  6.744394,  8.929817,  -22.310771,  24.031482,  -68.186516,  0.741749,  2.594864,  55.019112
 0.920000,  6.789686,  8.833743,  -22.043928,  23.748048,  -68.162484,  0.743250,  2.577299,  55.242092
 0.925000,  6.832499,  8.758221,  -21.895488,  23.582172,  -68.198653,  0.744654,  2.560914,  55.450904
 0.930000,  6.849226,  8.708404,  -21.680107,  23.363719,  -68.115918,  0.745198,  2.554569,  55.531975
 0.935000,  6.971664,  8.534680,  -21.527073,  23.157193,  -68.373645,  0.749111,  2.509072,  56.116781
 0.940000,  7.026785,  8.438036,  -21.294475,  22.905351,  -68.383940,  0.750834,  2.489119,  56.375206
 0.945000,  7.000464,  8.446225,  -21.103606,  22.731056,  -68.187516,  0.750014,  2.498607,  56.252173
 0.950000,  6.999911,  8.424967,  -20.926058,  22.558368,  -68.070084,  0.749997,  2.498807,  56.249583
 0.955000,  7.063886,  8.318159,  -20.678794,  22.289106,  -68.087390,  0.751981,  2.475867,  56.547485
 0.960000,  7.114043,  8.236033,  -20.484830,  22.078508,  -68.097268,  0.753514,  2.458176,  56.778299
 0.965000,  7.143837,  8.181301,  -20.313089,  21.898751,  -68.062513,  0.754416,  2.447788,  56.914278
 0.970000,  7.161970,  8.136490,  -20.106366,  21.690284,  -67.968302,  0.754961,  2.441508,  56.996630
 0.975000,  7.142972,  8.139355,  -19.942038,  21.539127,  -67.797262,  0.754389,  2.448088,  56.910343
 0.980000,  7.199733,  8.053405,  -19.753207,  21.331820,  -67.819342,  0.756090,  2.428535,  57.167150
 0.985000,  7.205659,  8.027348,  -19.580098,  21.161724,  -67.707721,  0.756266,  2.426511,  57.193792
 0.990000,  7.275273,  7.935255,  -19.445437,  21.002222,  -67.800828,  0.758316,  2.402994,  57.504336
 0.995000,  7.275263,  7.912612,  -19.237653,  20.801364,  -67.642333,  0.758316,  2.402998,  57.504290
 1.000000,  7.288582,  7.885104,  -19.117505,  20.679794,  -67.586190,  0.758704,  2.398550,  57.563209
