Created: Mar 26, 2019  09:19:05
AIM version 912 // ID = 190216155237
"03-26-2019_1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.505000,  11.071429,  9.785674,  -53.530402,  54.417491,  -79.640520,  0.834320,  1.573352,  69.608908
 0.510000,  11.487557,  9.227252,  -52.487611,  53.292508,  -80.029500,  0.839841,  1.516063,  70.533219
 0.515000,  11.758524,  8.824988,  -51.459567,  52.210799,  -80.268941,  0.843242,  1.480955,  71.105716
 0.520000,  11.861629,  8.584348,  -50.534262,  51.258196,  -80.359233,  0.844499,  1.468020,  71.317805
 0.525000,  12.080199,  8.283034,  -49.686112,  50.371801,  -80.535558,  0.847097,  1.441336,  71.757355
 0.530000,  12.195587,  8.060598,  -48.818648,  49.479628,  -80.624448,  0.848434,  1.427637,  71.984055
 0.535000,  12.427046,  7.785328,  -48.043150,  48.669863,  -80.795452,  0.851047,  1.400930,  72.428084
 0.540000,  12.551256,  7.589454,  -47.280997,  47.886246,  -80.880926,  0.852412,  1.387007,  72.660656
 0.545000,  12.599968,  7.444077,  -46.517552,  47.109414,  -80.908341,  0.852941,  1.381622,  72.750806
 0.550000,  12.523811,  7.369873,  -45.717102,  46.307326,  -80.842501,  0.852113,  1.390059,  72.609604
 0.555000,  12.542850,  7.244724,  -44.942947,  45.523121,  -80.842937,  0.852321,  1.387940,  72.645041
 0.560000,  12.376027,  7.232287,  -44.184407,  44.772400,  -80.704166,  0.850479,  1.406731,  72.331413
 0.565000,  12.265158,  7.200733,  -43.513336,  44.105113,  -80.603798,  0.849229,  1.419503,  72.119004
 0.570000,  12.166005,  7.162260,  -42.836229,  43.430871,  -80.508034,  0.848094,  1.431124,  71.926282
 0.575000,  11.802999,  7.287625,  -42.172904,  42.797935,  -80.196052,  0.843787,  1.475348,  71.197583
 0.580000,  11.581985,  7.338958,  -41.566903,  42.209806,  -79.987319,  0.841043,  1.503640,  70.735261
 0.585000,  11.276399,  7.456113,  -41.004538,  41.676921,  -79.694289,  0.837086,  1.544601,  70.071260
 0.590000,  10.975559,  7.587988,  -40.510621,  41.215142,  -79.391078,  0.832993,  1.587171,  69.387764
 0.595000,  10.805564,  7.631915,  -40.005325,  40.726799,  -79.199460,  0.830588,  1.612283,  68.987702
 0.600000,  10.713414,  7.634333,  -39.583270,  40.312756,  -79.083675,  0.829256,  1.626232,  68.766484
 0.605000,  10.625178,  7.628510,  -39.120556,  39.857397,  -78.965928,  0.827960,  1.639817,  68.551715
 0.610000,  10.415982,  7.704847,  -38.604381,  39.365758,  -78.713083,  0.824807,  1.672953,  68.030661
 0.615000,  10.170303,  7.826116,  -38.169693,  38.963747,  -78.413098,  0.820954,  1.713625,  67.396518
 0.620000,  9.754772,  8.089600,  -37.704553,  38.562610,  -77.890775,  0.814036,  1.787127,  66.265467
 0.625000,  9.465716,  8.271317,  -37.282347,  38.188848,  -77.491318,  0.808900,  1.842105,  65.431896
 0.630000,  9.138270,  8.520305,  -36.973852,  37.942869,  -77.023355,  0.802728,  1.908635,  64.437174
 0.635000,  8.768822,  8.851944,  -36.785502,  37.835566,  -76.469909,  0.795267,  1.989740,  63.244965
 0.640000,  8.585280,  9.049504,  -36.816251,  37.912133,  -76.190498,  0.791347,  2.032664,  62.622965
 0.645000,  8.548878,  9.096733,  -36.861859,  37.967712,  -76.137715,  0.790551,  2.041399,  62.497137
 0.650000,  8.591105,  9.057231,  -36.895268,  37.990713,  -76.207626,  0.791473,  2.031273,  62.643023
 0.655000,  8.716603,  8.934709,  -36.951830,  38.016664,  -76.407282,  0.794167,  2.001766,  63.070083
 0.660000,  8.941404,  8.705726,  -36.945405,  37.957247,  -76.740970,  0.798821,  1.951009,  63.811526
 0.665000,  9.200847,  8.446322,  -36.881227,  37.836031,  -77.101031,  0.803938,  1.895551,  64.631606
 0.670000,  9.564606,  8.112474,  -36.826992,  37.709940,  -77.577084,  0.810689,  1.822918,  65.721606
 0.675000,  9.992655,  7.718738,  -36.545556,  37.351795,  -78.074047,  0.818060,  1.744293,  66.922272
 0.680000,  10.410293,  7.360646,  -36.228410,  36.968592,  -78.515488,  0.824720,  1.673873,  68.016252
 0.685000,  10.714614,  7.092794,  -35.813664,  36.509263,  -78.797833,  0.829273,  1.626049,  68.769384
 0.690000,  10.971036,  6.868934,  -35.384865,  36.045401,  -79.014473,  0.832930,  1.587829,  69.377252
 0.695000,  11.115983,  6.722884,  -34.951621,  35.592316,  -79.112369,  0.834929,  1.567011,  69.710608
 0.700000,  11.304658,  6.563014,  -34.577248,  35.194591,  -79.252829,  0.837460,  1.540719,  70.133913
 0.705000,  11.434790,  6.439352,  -34.180747,  34.782018,  -79.331164,  0.839161,  1.523095,  70.419107
 0.710000,  11.493050,  6.357776,  -33.774988,  34.368170,  -79.339576,  0.839911,  1.515335,  70.545048
 0.715000,  11.469028,  6.336009,  -33.479400,  34.073674,  -79.283599,  0.839603,  1.518525,  70.493248
