Created: Mar 25, 2019  15:17:51
AIM version 912 // ID = 190216155237
"03-25-19-1.scn"
Z0, 50
Freq(MHz),SWR,Rs,Xs,Zmag,Phase(deg),Rho,ReturnLoss,%ReflectedPower
 0.510000,  5.354164,  17.482989,  -45.143658,  48.410791,  -68.830004,  0.685246,  3.283073,  46.956176
 0.515000,  5.437026,  17.009118,  -44.621300,  47.753225,  -69.133859,  0.689298,  3.231866,  47.513108
 0.520000,  5.494005,  16.609033,  -44.020466,  47.049563,  -69.328503,  0.692024,  3.197581,  47.889671
 0.525000,  5.542122,  16.276510,  -43.499879,  46.445282,  -69.485595,  0.694289,  3.169197,  48.203696
 0.530000,  5.589146,  15.961982,  -42.996538,  45.863789,  -69.633244,  0.696471,  3.141945,  48.507122
 0.535000,  5.631619,  15.665020,  -42.481278,  45.277498,  -69.758612,  0.698414,  3.117735,  48.778281
 0.540000,  5.699245,  15.331720,  -42.052427,  44.760119,  -69.968982,  0.701459,  3.079955,  49.204460
 0.545000,  5.759485,  14.998515,  -41.526352,  44.151935,  -70.141384,  0.704119,  3.047073,  49.578425
 0.550000,  5.765561,  14.828301,  -41.029122,  43.626453,  -70.129803,  0.704385,  3.043796,  49.615850
 0.555000,  5.854373,  14.452641,  -40.559994,  43.058007,  -70.387742,  0.708215,  2.996692,  50.156913
 0.560000,  5.889028,  14.208863,  -40.032070,  42.478917,  -70.458466,  0.709683,  2.978708,  50.365038
 0.565000,  5.922937,  13.977103,  -39.520965,  41.919758,  -70.523321,  0.711105,  2.961322,  50.567069
 0.570000,  5.957025,  13.765288,  -39.064859,  41.419155,  -70.589191,  0.712521,  2.944049,  50.768589
 0.575000,  5.931482,  13.696544,  -38.599241,  40.957255,  -70.463417,  0.711461,  2.956973,  50.617737
 0.580000,  5.926089,  13.580218,  -38.131828,  40.477878,  -70.397344,  0.711237,  2.959716,  50.585769
 0.585000,  5.948419,  13.414481,  -37.716788,  40.031293,  -70.421513,  0.712165,  2.948391,  50.717863
 0.590000,  5.943566,  13.300913,  -37.252135,  39.555478,  -70.350966,  0.711964,  2.950845,  50.689210
 0.595000,  5.950921,  13.170740,  -36.825191,  39.109629,  -70.320243,  0.712268,  2.947127,  50.732621
 0.600000,  5.953889,  13.059676,  -36.426792,  38.697109,  -70.276431,  0.712391,  2.945630,  50.750113
 0.605000,  5.923965,  13.035235,  -36.071008,  38.354074,  -70.131430,  0.711148,  2.960798,  50.573171
 0.610000,  5.950326,  12.882861,  -35.709190,  37.962012,  -70.162120,  0.712244,  2.947428,  50.729108
 0.615000,  5.917070,  12.873184,  -35.378495,  37.647799,  -70.005179,  0.710860,  2.964315,  50.532230
 0.620000,  5.921918,  12.793499,  -35.106225,  37.364698,  -69.977243,  0.711063,  2.961842,  50.561021
 0.625000,  5.915033,  12.711909,  -34.719304,  36.973270,  -69.890739,  0.710775,  2.965356,  50.520122
 0.630000,  5.948945,  12.555044,  -34.385431,  36.605833,  -69.941627,  0.712187,  2.948125,  50.720968
 0.635000,  5.929288,  12.524722,  -34.086400,  36.314616,  -69.824749,  0.711370,  2.958089,  50.604734
 0.640000,  5.958867,  12.398556,  -33.828653,  36.029182,  -69.871708,  0.712597,  2.943121,  50.779435
 0.645000,  5.962523,  12.322991,  -33.545293,  35.737134,  -69.829122,  0.712748,  2.941282,  50.800942
 0.650000,  5.976001,  12.239410,  -33.312726,  35.490011,  -69.826314,  0.713303,  2.934522,  50.880087
 0.655000,  6.016086,  12.099041,  -33.069813,  35.213624,  -69.904388,  0.714941,  2.914599,  51.114031
 0.660000,  6.029497,  12.019238,  -32.843665,  34.973825,  -69.899871,  0.715485,  2.907994,  51.191825
 0.665000,  6.049560,  11.914547,  -32.563886,  34.675108,  -69.903448,  0.716294,  2.898169,  51.307762
 0.670000,  6.064731,  11.839873,  -32.368380,  34.465847,  -69.908352,  0.716904,  2.890785,  51.395073
 0.675000,  6.088436,  11.730315,  -32.088874,  34.165716,  -69.919880,  0.717850,  2.879322,  51.530905
