!Keysight Technologies,E4990A,MY54302971,A.03.06
!Date: Tue Mar 28 10:57:36 2023

BEGIN CH1_DATA
Frequency(Hz), R(Ohm)-data, X(Ohm)-data
+7.68768462500e+005, +9.35122870627e+002, -1.37400925556e+004
+7.75018450000e+005, +9.27864483660e+002, -1.36341307286e+004
+7.81268437500e+005, +9.20541981997e+002, -1.35300440690e+004
+7.87518425000e+005, +9.12089432437e+002, -1.34270604433e+004
+7.93768412500e+005, +9.05028079116e+002, -1.33258896808e+004
+8.00018400000e+005, +8.98149164907e+002, -1.32257752194e+004
+8.06268387500e+005, +8.90665395180e+002, -1.31282525746e+004
+8.12518375000e+005, +8.83129335264e+002, -1.30322714254e+004
+8.18768362500e+005, +8.76218164435e+002, -1.29364721995e+004
+8.25018350000e+005, +8.69058140056e+002, -1.28430156791e+004
+8.31268337500e+005, +8.62219261908e+002, -1.27504086715e+004
+8.37518325000e+005, +8.55457965070e+002, -1.26595362431e+004
+8.43768312500e+005, +8.48399405758e+002, -1.25694357371e+004
+8.50018300000e+005, +8.42417340067e+002, -1.24813886362e+004
+8.56268287500e+005, +8.35476139442e+002, -1.23939581699e+004
+8.62518275000e+005, +8.29662496347e+002, -1.23080699303e+004
+8.68768262500e+005, +8.23261260399e+002, -1.22230760621e+004
+8.75018250000e+005, +8.17448204208e+002, -1.21398923319e+004
+8.81268237500e+005, +8.11116244656e+002, -1.20574114349e+004
+8.87518225000e+005, +8.05166971564e+002, -1.19760330848e+004
+8.93768212500e+005, +7.99369375663e+002, -1.18970394180e+004
+9.00018200000e+005, +7.93403991826e+002, -1.18173969184e+004
+9.06268187500e+005, +7.88259576669e+002, -1.17394521715e+004
+9.12518175000e+005, +7.82477228676e+002, -1.16628324599e+004
+9.18768162500e+005, +7.76806481585e+002, -1.15864455318e+004
+9.25018150000e+005, +7.71169880150e+002, -1.15118124317e+004
+9.31268137500e+005, +7.65723924582e+002, -1.14384620351e+004
+9.37518125000e+005, +7.60678791753e+002, -1.13649679288e+004
+9.43768112500e+005, +7.55482890271e+002, -1.12931536394e+004
+9.50018100000e+005, +7.50218130231e+002, -1.12218149777e+004
+9.56268087500e+005, +7.45164890594e+002, -1.11524271077e+004
+9.62518075000e+005, +7.40404380931e+002, -1.10828886646e+004
+9.68768062500e+005, +7.35233599740e+002, -1.10145624189e+004
+9.75018050000e+005, +7.29792163004e+002, -1.09471118496e+004
+9.81268037500e+005, +7.25153288736e+002, -1.08807466633e+004
+9.87518025000e+005, +7.20533726619e+002, -1.08140536422e+004
+9.93768012500e+005, +7.15524328015e+002, -1.07492650969e+004
+1.00001800000e+006, +7.10663843427e+002, -1.06850861809e+004
+1.00626798750e+006, +7.05871487917e+002, -1.06216498742e+004
+1.01251797500e+006, +7.02119427402e+002, -1.05588783811e+004
+1.01876796250e+006, +6.96680741071e+002, -1.04957066124e+004
+1.02501795000e+006, +6.92354953515e+002, -1.04352098418e+004
+1.03126793750e+006, +6.88352072403e+002, -1.03745188170e+004
+1.03751792500e+006, +6.83828367196e+002, -1.03144812566e+004
+1.04376791250e+006, +6.79413173655e+002, -1.02549572623e+004
+1.05001790000e+006, +6.74969021572e+002, -1.01967889619e+004
+1.05626788750e+006, +6.71553994757e+002, -1.01386801230e+004
+1.06251787500e+006, +6.66695440475e+002, -1.00815893451e+004
+1.06876786250e+006, +6.62911373666e+002, -1.00253180111e+004
+1.07501785000e+006, +6.58404654681e+002, -9.96930770666e+003
+1.08126783750e+006, +6.54339932855e+002, -9.91449171467e+003
+1.08751782500e+006, +6.50246706189e+002, -9.85941685419e+003
+1.09376781250e+006, +6.46558085326e+002, -9.80567068707e+003
+1.10001780000e+006, +6.42581811072e+002, -9.75239406410e+003
+1.10626778750e+006, +6.39093624831e+002, -9.69950677599e+003
+1.11251777500e+006, +6.34798427457e+002, -9.64722528554e+003
+1.11876776250e+006, +6.31165795563e+002, -9.59576528356e+003
+1.12501775000e+006, +6.27259165669e+002, -9.54543121925e+003
+1.13126773750e+006, +6.24043399294e+002, -9.49455837625e+003
+1.13751772500e+006, +6.20071661970e+002, -9.44468315921e+003
+1.14376771250e+006, +6.16882439053e+002, -9.39537551603e+003
